time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-05-01 09:30:00-04:00,SentimentTrader,74aa97b905f84f23b2fa436708ec722a,MSFT,buy,market,fill,1,gtc,0.0,1,stock,175.8000030517578,146.0,0.0
2020-05-13 09:30:00-04:00,SentimentTrader,5031485506bb43fa952d6541223bc700,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,181.88469467163085,146.0,0.0
2020-05-20 09:30:00-04:00,SentimentTrader,78fe0dd235c849b9862a97ef2c1c684f,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-20 09:30:00-04:00,SentimentTrader,f2f817d44e9640e0a2d5a88e78d4c627,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-05-20 09:30:00-04:00,SentimentTrader,78fe0dd235c849b9862a97ef2c1c684f,MSFT,buy,market,fill,1,gtc,0.0,1,stock,184.80999755859375,140.0,0.0
2020-05-27 09:30:00-04:00,SentimentTrader,f2f817d44e9640e0a2d5a88e78d4c627,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,180.1999969482422,140.0,0.0
2020-07-15 09:30:00-04:00,SentimentTrader,6fa543569ab44e69ae49a59ffc670421,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-15 09:30:00-04:00,SentimentTrader,a6ed33390aef41c88ed507ea1b2dca68,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-07-15 09:30:00-04:00,SentimentTrader,6fa543569ab44e69ae49a59ffc670421,MSFT,buy,market,fill,1,gtc,0.0,1,stock,209.55999755859375,122.0,0.0
2020-07-16 09:30:00-04:00,SentimentTrader,a6ed33390aef41c88ed507ea1b2dca68,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,204.99010177612305,122.0,0.0
2020-07-17 09:30:00-04:00,SentimentTrader,1c137b9118154bf2a7bae3bf32dc7fb9,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-17 09:30:00-04:00,SentimentTrader,e8b49a4b6e114c0388e971abb3250d85,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-07-17 09:30:00-04:00,SentimentTrader,1c137b9118154bf2a7bae3bf32dc7fb9,MSFT,buy,market,fill,1,gtc,0.0,1,stock,204.47000122070312,125.0,0.0
2020-07-20 09:30:00-04:00,SentimentTrader,e8b49a4b6e114c0388e971abb3250d85,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,205.0,125.0,0.0
2020-07-21 09:30:00-04:00,SentimentTrader,94c62bbccd3847479b4eb49d12259b69,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-21 09:30:00-04:00,SentimentTrader,532b273028ef4e7faeaf4bc5392c7837,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-07-21 09:30:00-04:00,SentimentTrader,94c62bbccd3847479b4eb49d12259b69,MSFT,buy,market,fill,1,gtc,0.0,1,stock,213.66000366210938,120.0,0.0
2020-07-23 09:30:00-04:00,SentimentTrader,532b273028ef4e7faeaf4bc5392c7837,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,207.19000244140625,120.0,0.0
2020-07-24 09:30:00-04:00,SentimentTrader,25432dd0a8c041f4b191b474420e5f1a,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-24 09:30:00-04:00,SentimentTrader,acc343674e624f3ea9a542d861a3dd6d,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-07-24 09:30:00-04:00,SentimentTrader,25432dd0a8c041f4b191b474420e5f1a,MSFT,buy,market,fill,1,gtc,0.0,1,stock,200.4199981689453,126.0,0.0
2020-08-03 09:30:00-04:00,SentimentTrader,acc343674e624f3ea9a542d861a3dd6d,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,211.11079940795898,126.0,0.0
2020-08-13 09:30:00-04:00,SentimentTrader,5f85f7d4db4f4311b0eeecbb8ee0d017,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-13 09:30:00-04:00,SentimentTrader,7868afae2ac648939fdc8468f5a1c469,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-08-13 09:30:00-04:00,SentimentTrader,5f85f7d4db4f4311b0eeecbb8ee0d017,MSFT,buy,market,fill,1,gtc,0.0,1,stock,209.44000244140625,123.0,0.0
2020-09-03 09:30:00-04:00,SentimentTrader,7868afae2ac648939fdc8468f5a1c469,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,225.874200592041,123.0,0.0
2020-09-15 09:30:00-04:00,SentimentTrader,e23a56a5ade9464d8784ea044dffc0cf,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,SentimentTrader,9640dc85911d4f62b9c5fd59c060bdc6,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
